numero_processo;dia_semana;ano
07405916020228020001;Sexta;2025
00008054520258020001;Quinta;2025
07407061320248020001;Quinta;2025
07359277820258020001;Quinta;2025
00008054520258020001;Quinta;2025
07028850420258020077;Quinta;2025
07013658420258020052;Quinta;2025
08143098820258020000;Quinta;2025
07010950420258020006;Quinta;2025
08125542920258020000;Quarta;2025
07561343520248020001;Quarta;2025
07012218620258020060;Quarta;2025
07002438020258020005;Quarta;2025
07093299220228020001;Quarta;2025
08142327920258020000;Quarta;2025
07626824220258020001;Terça;2025
07625309120258020001;Terça;2025
07011210220258020006;Terça;2025
08141678420258020000;Terça;2025
08134004620258020000;Segunda;2025
07171204420248020001;Segunda;2025
08140846820258020000;Segunda;2025
08140647720258020000;Segunda;2025
07620848820258020001;;2025
07620623020258020001;;2025
07394832520248020001;;2025
08140474120258020000;;2025
08140465620258020000;;2025
08140430420258020000;;2025
07007017020248020090;Sexta;2025
08140352720258020000;Sexta;2025
07111076820208020001;Sexta;2025
07617947320258020001;Sexta;2025
07009276720258020049;Sexta;2025
07193911520258020058;Sexta;2025
07615720820258020001;Quinta;2025
08139703220258020000;Quinta;2025
07614404820258020001;Quinta;2025
08139504120258020000;Quinta;2025
07010791220248020030;Quinta;2025
07012401620258020053;Quinta;2025
08115159420258020000;Quinta;2025
08139305020258020000;Quarta;2025
07612967420258020001;Quarta;2025
07604794420248020001;Quarta;2025
08139218820258020000;Quarta;2025
07325613120258020001;Quarta;2025
07618478820248020001;Quarta;2025
07317914320228020001;Quarta;2025
07322316820248020001;Quarta;2025
07012401620258020053;Quarta;2025
08138793920258020000;Quarta;2025
07451514020258020001;Terça;2025
08138577820258020000;Terça;2025
07015259220258020090;Terça;2025
07613212420248020001;Terça;2025
08138343520258020000;Terça;2025
07017169820258020006;Terça;2025
07141668820258020001;Terça;2025
07609502620258020001;Terça;2025
07017151620258020006;Terça;2025
08131796320258020000;Terça;2025
07038813620258020001;Segunda;2025
08137677020258020000;Segunda;2025
08137624820258020000;Segunda;2025
07607216620258020001;Segunda;2025
07086811520228020001;Segunda;2025
07605873920258020001;;2025
07288635120248020001;;2025
07451920720258020001;;2025
07603198220258020001;Quarta;2025
08136680320258020000;Quarta;2025
07244401420258020001;Quarta;2025
08136637820258020000;Quarta;2025
08136594120258020000;Quarta;2025
08136524920258020000;Quarta;2025
08136403520258020000;Quarta;2025
07333682220238020001;Quarta;2025
08084924320258020000;Terça;2025
07600322220258020001;Terça;2025
07067166520238020001;Terça;2025
07424747120248020001;Terça;2025
07599620520258020001;Terça;2025
07443286620258020001;Terça;2025
07325613120258020001;Terça;2025
07183156420248020001;Terça;2025
07595931120258020001;Segunda;2025
07017174820258020050;Segunda;2025
07031761920248020051;;2025
08135165220258020000;;2025
08135043820258020000;;2025
07028363520258020053;Sexta;2025
07592960420258020001;Sexta;2025
07592943420258020001;Sexta;2025
07401995220248020001;Sexta;2025
07033119420258020051;Sexta;2025
07186220720258020058;Sexta;2025
07186013120258020058;Sexta;2025
07185987620258020058;Sexta;2025
08062138420258020000;Sexta;2025
08120692920258020000;Quinta;2025
08121394620258020000;Quinta;2025
07185537220258020058;Quinta;2025
07185528720258020058;Quinta;2025
08134126020258020000;Quinta;2025
08134048320258020000;Quinta;2025
07032928820258020051;Quinta;2025
08133883220258020000;Quarta;2025
07588275520258020001;Quarta;2025
07588267020258020001;Quarta;2025
07390124320238020001;Quarta;2025
07588101920258020001;Quarta;2025
07433728420248020001;Quarta;2025
07223165820258020001;Quarta;2025
07014591520258020090;Quarta;2025
08133631920258020000;Quarta;2025
07587565320258020001;Quarta;2025
07357303120228020001;Quarta;2025
07014566020258020090;Quarta;2025
07586742220258020001;Quarta;2025
07014549020258020090;Quarta;2025
07050356020238020001;Terça;2025
07016242320258020006;Terça;2025
07005402620258020090;Terça;2025
07582351120258020001;Terça;2025
07422974420238020001;Segunda;2025
08132584220258020000;Segunda;2025
08132532020258020000;Segunda;2025
08132515020258020000;Segunda;2025
07012757420238020043;Segunda;2025
07483466720248020001;Segunda;2025
07113385620248020001;Segunda;2025
08077103620258020000;;2025
07579415620258020001;;2025
08132047620258020000;;2025
07008867620258020057;;2025
07618478820248020001;;2025
07427787020248020001;;2025
07578592520258020001;;2025
08131804820258020000;Sexta;2025
08131787820258020000;Sexta;2025
07314201120248020001;Sexta;2025
07016716620258020080;Sexta;2025
07004086820258020057;Sexta;2025
07001239620258020050;Sexta;2025
08067602720258020000;Sexta;2025
07575405720258020001;Quinta;2025
07162696820258020001;Quinta;2025
07141547420258020001;Quinta;2025
07575388720258020001;Quinta;2025
08131268220258020000;Quinta;2025
07003504620248020010;Quinta;2025
07572590420258020001;Quarta;2025
07572564920258020001;Quarta;2025
07572556420258020001;Quarta;2025
07433323920238020001;Quarta;2025
07291496320238020001;Quarta;2025
07571482020258020001;Quarta;2025
07220293220248020001;Quarta;2025
07049868220248020001;Quarta;2025
07186392020258020001;Terça;2025
07568927720258020001;Terça;2025
07190298720258020001;Terça;2025
07565238320258020001;Segunda;2025
07016199720248020050;Segunda;2025
07564406720258020001;Segunda;2025
07007605820258020014;Segunda;2025
07390289420238020001;;2025
08128911820258020000;;2025
08128834120258020000;;2025
07561115520258020001;Sexta;2025
07005607520258020006;Sexta;2025
07066172720258020001;Quinta;2025
07093665620218020001;Quinta;2025
07008241120258020033;Quinta;2025
07558785820258020001;Quinta;2025
08127786420258020000;Quinta;2025
07408245720228020001;Quarta;2025
07556161120258020001;Quarta;2025
07035329220258020046;Quarta;2025
07554629020258020001;Quarta;2025
07054764120238020001;Quarta;2025
07009080320258020036;Terça;2025
07013648220258020090;Terça;2025
08116605320258020000;Terça;2025
08055019420258020000;Terça;2025
07549995120258020001;Segunda;2025
07364638920258020001;Segunda;2025
08125465220258020000;Quinta;2025
07007267320258020082;Quinta;2025
08125101020258020000;Quinta;2025
07541715520258020001;Quinta;2025
07541707020258020001;Quinta;2025
08125023320258020000;Quarta;2025
07172338420258020058;Quarta;2025
08124962620258020000;Quarta;2025
08124841220258020000;Quarta;2025
08124668820258020000;Quarta;2025
07172095620258020058;Quarta;2025
08124417520258020000;Quarta;2025
08124313120258020000;Terça;2025
07026382520258020044;Terça;2025
07146399720258020058;Terça;2025
07021903720258020049;Terça;2025
07536779320258020001;Terça;2025
08123992620258020000;Terça;2025
