P | JH | PH,P | JH | PH,P | JH | PH,P | JH | PM,P | JH | PM,P | JH | PM,P | JM | PH,P | JM | PH,P | JM | PH,P | JM | PM,P | JM | PM,P | JM | PM,I | JH | PH,I | JH | PH,I | JH | PH,I | JH | PM,I | JH | PM,I | JH | PM,I | JM | PH,I | JM | PH,I | JM | PH,I | JM | PM,I | JM | PM,I | JM | PM,P | JH | PH,P | JH | PH,P | JH | PH,P | JH | PM,P | JH | PM,P | JH | PM,P | JM | PH,P | JM | PH,P | JM | PH,P | JM | PM,P | JM | PM,P | JM | PM,I | JH | PH,I | JH | PH,I | JH | PH,I | JH | PM,I | JH | PM,I | JH | PM,I | JM | PH,I | JM | PH,I | JM | PH,I | JM | PM,I | JM | PM,I | JM | PM
RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA,RIGOROSA,TECNICA,EMPATICA
count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,count,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct,pct
124,2,13,145,5,20,121,0,5,101,1,2,44,0,2,54,2,2,56,0,1,47,3,2,89.20863309352518,1.4388489208633095,9.352517985611511,85.29411764705883,2.941176470588235,11.76470588235294,96.03174603174604,0.0,3.968253968253968,97.11538461538461,0.9615384615384616,1.9230769230769231,95.65217391304348,0.0,4.3478260869565215,93.10344827586206,3.4482758620689653,3.4482758620689653,98.24561403508771,0.0,1.7543859649122806,90.38461538461539,5.769230769230769,3.8461538461538463
0,19,120,0,13,157,0,4,122,0,1,103,0,16,30,0,22,36,0,9,48,0,5,47,0.0,13.66906474820144,86.33093525179856,0.0,7.647058823529412,92.3529411764706,0.0,3.1746031746031744,96.82539682539682,0.0,0.9615384615384616,99.03846153846155,0.0,34.78260869565217,65.21739130434783,0.0,37.93103448275862,62.06896551724138,0.0,15.789473684210526,84.21052631578947,0.0,9.615384615384617,90.38461538461539
0,134,5,0,161,6,0,121,2,0,98,6,0,45,1,0,57,1,1,55,0,0,51,1,0.0,96.40287769784173,3.597122302158273,0.0,96.40718562874252,3.592814371257485,0.0,98.3739837398374,1.6260162601626018,0.0,94.23076923076923,5.769230769230769,0.0,97.82608695652173,2.1739130434782608,0.0,98.27586206896551,1.7241379310344827,1.7857142857142856,98.21428571428571,0.0,0.0,98.07692307692307,1.9230769230769231
9,50,80,10,67,93,17,9,100,13,6,85,20,25,1,30,25,3,28,17,12,19,25,8,6.474820143884892,35.97122302158273,57.55395683453237,5.88235294117647,39.411764705882355,54.70588235294118,13.492063492063492,7.142857142857142,79.36507936507937,12.5,5.769230769230769,81.73076923076923,43.47826086956522,54.347826086956516,2.1739130434782608,51.724137931034484,43.103448275862064,5.172413793103448,49.122807017543856,29.82456140350877,21.052631578947366,36.53846153846153,48.07692307692308,15.384615384615385
0,135,4,0,151,19,0,116,10,0,93,11,0,46,0,0,58,0,0,57,0,0,52,0,0.0,97.12230215827337,2.877697841726619,0.0,88.8235294117647,11.176470588235295,0.0,92.06349206349206,7.936507936507936,0.0,89.42307692307693,10.576923076923077,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
0,136,3,0,152,18,0,118,8,0,92,12,0,46,0,0,58,0,0,57,0,0,52,0,0.0,97.84172661870504,2.158273381294964,0.0,89.41176470588236,10.588235294117647,0.0,93.65079365079364,6.349206349206349,0.0,88.46153846153845,11.538461538461538,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
0,36,103,0,43,127,0,37,89,0,26,78,4,24,18,0,24,34,1,16,40,0,16,36,0.0,25.899280575539567,74.10071942446042,0.0,25.294117647058822,74.70588235294117,0.0,29.365079365079367,70.63492063492063,0.0,25.0,75.0,8.695652173913043,52.17391304347826,39.130434782608695,0.0,41.37931034482759,58.620689655172406,1.7543859649122806,28.07017543859649,70.17543859649122,0.0,30.76923076923077,69.23076923076923
