numero_processo;dia_semana;ano
02530438020248060001;Quinta;2025
30010926920238060112;Quarta;2025
30024275520258060112;Quarta;2025
30024231820258060112;Terça;2025
02055582720248060117;Terça;2025
30338065620258060001;Terça;2025
02705513920248060001;Terça;2025
30337234020258060001;Terça;2025
02038232920248060029;Segunda;2025
08000242420238060138;;2025
02155218220258060001;;2025
06248003020258060000;Sexta;2025
06248124420258060000;Sexta;2025
30006570820258060086;Quinta;2025
30006562320258060086;Quinta;2025
02021749720248060071;Quinta;2025
02035430320248060112;Segunda;2025
30006380220258060086;Segunda;2025
30007045720258060158;Sexta;2025
30305691420258060001;Sexta;2025
30302825120258060001;Quinta;2025
02677529120228060001;Quinta;2025
30021729720258060112;Quinta;2025
02173827420238060001;Quarta;2025
30066665020258060000;Quarta;2025
30066665020258060000;Quarta;2025
30297013620258060001;Terça;2025
02640864820238060001;Terça;2025
30292622520258060001;Terça;2025
02490598820248060001;Terça;2025
02595306620248060001;Segunda;2025
30287426520258060001;;2025
30283936220258060001;Sexta;2025
30006930520258060004;Sexta;2025
02474634020228060001;Quarta;2025
02474634020228060001;Quarta;2025
02001655420258060128;Terça;2025
30059124220248060001;Terça;2025
02000729120258060031;Terça;2025
30273603720258060001;Terça;2025
30058393920258060000;Terça;2025
30268529120258060001;Segunda;2025
30265661620258060001;Sexta;2025
30266233420258060001;Sexta;2025
02014113620258060112;Sexta;2025
30263488520258060001;Quinta;2025
02137714520258060001;Quinta;2025
02051964820258060001;Quarta;2025
30057120420258060000;Quarta;2025
02036549220258060001;Quarta;2025
02175313620248060001;Terça;2025
30017837820258060091;Terça;2025
30025494720248060001;Terça;2025
30001679420258060050;Segunda;2025
02070363020248060001;Segunda;2025
02066953020228060112;Segunda;2025
30181681720248060001;Sexta;2025
30181681720248060001;Sexta;2025
30247786420258060001;Sexta;2025
02773734420248060001;Quinta;2025
02229755020248060001;Quinta;2025
02765255720248060001;Terça;2025
30003125020258060051;Segunda;2025
30229953720258060001;Segunda;2025
02045518320228060112;Segunda;2025
30228715420258060001;Segunda;2025
30005718920258060004;Segunda;2025
30000773720258060131;Sexta;2025
30224852420258060001;Sexta;2025
02006064620228060126;Quinta;2025
30012027720258060151;Quinta;2025
30050045120258060000;Quarta;2025
30216685720258060001;Quarta;2025
30012716020248060017;Quarta;2025
30018367820258060117;Quarta;2025
02009725420258060167;Quarta;2025
02252471720248060001;Segunda;2025
30014425220258060091;Sexta;2025
02077392420258060001;Sexta;2025
02009404920258060167;Sexta;2025
02249779020248060001;Sexta;2025
02020101720258060001;Quinta;2025
30043341320258060000;Quinta;2025
30202646820258060001;Quinta;2025
02002738720258060062;Quarta;2025
30041392820258060000;Terça;2025
30194878320258060001;Terça;2025
30194289520258060001;Terça;2025
30012724320258060071;Segunda;2025
30193154420258060001;Segunda;2025
30040552720258060000;Segunda;2025
30041323620258060000;Segunda;2025
30189309620258060001;;2025
30186884020258060001;Sexta;2025
30001942220258060036;Sexta;2025
30001517120258060170;Sexta;2025
30188434320258060001;Sexta;2025
30182752720258060001;Quinta;2025
30180682820258060001;Quinta;2025
30180812720258060001;Quinta;2025
02480399620238060001;Terça;2025
30174334720258060001;Segunda;2025
02655045520228060001;Sexta;2025
30170498420258060001;Sexta;2025
02097035220258060001;Sexta;2025
02001075020258060096;Quinta;2025
30078601920248060001;Quinta;2025
30003522020258060055;Quarta;2025
02247198020248060001;Quarta;2025
30001483120238060124;Terça;2025
00103291320258060112;Terça;2025
30034975520258060000;Terça;2025
30156597920258060001;Segunda;2025
00022045220158060162;Segunda;2025
30003822820238060119;Segunda;2025
02089197520258060001;;2025
30155108320258060001;;2025
30032628820258060000;Sexta;2025
02000718020258060169;Sexta;2025
30032983320258060000;Sexta;2025
02085143920258060001;Quinta;2025
30001542020248060151;Quarta;2025
02082857920258060001;Segunda;2025
30000845720258060057;;2025
02586631520208060001;Sexta;2025
30002576320258060160;Quarta;2025
30136167220258060001;Quarta;2025
00143446720258060001;Quarta;2025
02078016420258060001;Quarta;2025
30001919220238060115;Quarta;2025
02077652220258060001;Quarta;2025
30009099320258060091;Terça;2025
02008103020258060112;Terça;2025
02010605220228060182;Segunda;2025
30003668520258060222;Segunda;2025
30129879820258060001;Segunda;2025
30128667020258060001;Segunda;2025
30008368420258060071;Segunda;2025
02073478420258060001;Segunda;2025
06219839020258060000;Segunda;2025
02072733020258060001;;2025
30128311320258060001;;2025
02071771520258060001;;2025
30007961220258060101;Quinta;2025
30124016120258060001;Quinta;2025
02003915120228060100;Quinta;2025
30121824820258060001;Quinta;2025
02372198120248060001;Quarta;2025
02345340420248060001;Quarta;2025
30024885820258060000;Quarta;2025
02000532420238060171;Terça;2025
02000532420238060171;Terça;2025
02000802120258060176;Terça;2025
02031848720228060091;Segunda;2025
02059119020258060001;Sexta;2025
30002274220258060220;Sexta;2025
30104243420258060001;Quinta;2025
30104520220258060001;Quinta;2025
30102659120258060001;Quinta;2025
00100696920258060100;Quarta;2025
02055767120258060001;Quarta;2025
00100688420258060100;Quarta;2025
02054250820258060001;Terça;2025
30000315520258060161;Terça;2025
30011833920258060000;Segunda;2025
30014008220258060000;Segunda;2025
02052337520258060001;Segunda;2025
02051575120258060001;Segunda;2025
06212468720258060000;Sexta;2025
30011175920258060000;Sexta;2025
30001285820258060160;Sexta;2025
30011219620258060000;Sexta;2025
30084558120258060001;Quinta;2025
30003244820258060121;Quinta;2025
02046802820258060001;Quinta;2025
30009703320258060000;Quarta;2025
02000902220258060158;Terça;2025
30073463220258060001;Segunda;2025
02000831320258060099;Segunda;2025
02041476920258060001;Segunda;2025
30072484720258060001;Segunda;2025
30004210420258060071;Sexta;2025
30068656920258060001;Sexta;2025
02034366420258060001;Quarta;2025
